subject,seed,solution_id,class_id,class_name,cluster_id
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem,1
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Order,0
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,2
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Sequence,3
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapper,0
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapper,2
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapper,2
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,2
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapper,3
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapper,2
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapper,3
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.AccountService,0
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.service.CatalogService,2
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderService,3
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,0
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,0
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,0
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,2
jpetstore,18,seed18_solution009,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Account,0
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Cart,1
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.CartItem,1
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,2
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Item,1
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem,3
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Order,0
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,2
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Sequence,3
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapper,0
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapper,2
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapper,2
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,2
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapper,3
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapper,2
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapper,3
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.AccountService,0
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.service.CatalogService,2
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderService,3
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,0
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,0
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,0
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,2
jpetstore,18,seed18_solution010,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Account,0
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Cart,1
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.CartItem,1
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,2
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Item,1
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem,3
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Order,0
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,2
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Sequence,3
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapper,0
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapper,2
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapper,2
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,2
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapper,3
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapper,2
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapper,3
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.AccountService,0
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.service.CatalogService,2
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderService,3
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,2
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,0
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,1
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,2
jpetstore,18,seed18_solution011,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Account,0
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Cart,1
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.CartItem,1
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,2
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Item,1
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem,3
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Order,0
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,2
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Sequence,3
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapper,0
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapper,2
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapper,2
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,3
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapper,3
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapper,2
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapper,3
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.AccountService,0
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.service.CatalogService,2
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderService,3
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,2
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,0
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,2
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,2
jpetstore,18,seed18_solution012,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Account,0
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Cart,1
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.CartItem,1
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,2
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Item,3
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem,1
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Order,0
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,1
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Sequence,3
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapper,0
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapper,2
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapper,2
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,3
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapper,3
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapper,2
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapper,3
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.AccountService,0
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.service.CatalogService,2
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderService,3
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,0
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,0
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,1
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,2
jpetstore,18,seed18_solution013,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Account,0
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Cart,1
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.CartItem,1
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,2
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Item,1
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem,3
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Order,0
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,2
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Sequence,3
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapper,0
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapper,2
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapper,2
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,3
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapper,3
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapper,2
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapper,3
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.AccountService,0
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.service.CatalogService,2
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderService,3
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,0
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,0
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,0
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,0
jpetstore,18,seed18_solution014,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Account,0
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Cart,1
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.CartItem,1
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,2
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Item,3
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem,3
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Order,0
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,2
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Sequence,3
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapper,0
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapper,2
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapper,2
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,3
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapper,3
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapper,3
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapper,3
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.AccountService,0
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.service.CatalogService,2
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderService,3
jpetstore,18,seed18_solution015,org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,2
